Points Label,Spine Label,Cluster Center x (nm),Cluster Center y (nm),# Subunits,Area (micron^2),Max Dark Time (s)
GluA2,34,18398.16286668593,27906.549648592074,83.15182229890016,0.7154227509539923,19.5
GluA2,35,10374.320934964777,28565.435944000372,45.1578947368421,0.7243969343903892,35.900000000000006
GluA2,36,12232.5583339725,28889.342372241652,62.37134534469738,0.6578785083452227,19.899999999999977
GluA2,37,19201.923476737073,29291.784987371626,104.67550668391547,0.9566523785377484,9.799999999999955
GluA2,38,13363.36293809522,29234.190301550017,15.12629035800571,0.49358091683617267,38.30000000000007
GluA2,39,25753.310896193263,31157.824717339077,5.548371051977091,0.16118283749677587,193.59999999999997
GluA2,40,41760.60798368741,35196.57871588362,9.553881807647654,0.3130875025990539,129.79999999999998
GluA2,41,42838.75928254831,35961.644232730476,40.18122977346278,0.7706603685612189,52.10000000000001
GluA2,42,21794.216404517858,36290.133103561304,64.0149544863459,0.5844657613960189,23.900000000000034
GluA2,43,23756.31807306401,36938.71706405932,91.50943396226414,0.5933966437556684,12.5
GluA2,44,40104.97390946487,37229.55482249092,75.93858131487887,0.5999094939898229,20.0
GluA2,45,43065.76332973322,38071.37143699407,84.93281317728653,0.6397825939789198,35.19999999999993
GluA2,46,23892.63715857558,38961.792905865346,57.66320795503675,0.6486959236402887,30.100000000000023
GluA2,47,33879.041179192835,40013.34169242718,225.16365202411708,1.582956290309421,8.5
GluA2,48,17798.165451828285,39427.23864130039,45.74975604467094,0.5605320977593463,26.900000000000034
GluA2,49,40696.263106944156,39759.31136943206,161.7541391624283,0.8574738763651253,8.400000000000034
GluA2,50,16641.458026796678,39707.641543670936,42.296511627906966,0.4810134052806934,47.60000000000002
GluA2,51,19576.75861247158,40738.5273641375,21.44831398562699,0.40099742845356734,70.60000000000002
GluA2,52,44168.637163627565,41828.55650180865,113.72044198895027,1.000961324638564,41.799999999999955
GluA2,53,23509.60320404183,42001.50605264188,34.28710409685439,0.4423862486178174,37.7
GluA2,54,25234.03909514259,43221.88314508225,166.6469194312796,0.9693448672640356,11.5
GluA2,55,21764.793893971364,43516.68874261698,33.28378227338773,0.4373610562744634,59.10000000000002
GluA2,56,43849.934394380936,45586.609836761505,5.0079901659495984,0.3089146953262611,188.60000000000002
GluA2,57,29240.244667037783,45657.48615197695,41.48374427231071,0.5666699932125437,49.200000000000045
GluA2,58,22538.5341503298,46429.69638478967,6.213141910546622,0.09240739836354754,76.90000000000003
GluA2,59,28307.74684412005,48370.40591050653,4.579919455631142,0.2131725203216137,131.7
GluA2,60,22416.88804093402,49180.137739211605,148.06200712973967,1.002291582270609,16.5
GluA2,61,26849.15655868229,48856.835867668335,24.713375796178344,0.4864423346720608,127.60000000000002
GluA2,62,43463.86252098501,49658.015482439485,39.36559766763703,0.5512687970700432,52.8
GluA2,63,24526.34054305105,50130.60153718327,86.47408849940494,0.5684038142354332,35.800000000000004
GluA2,64,28279.915116152126,50360.624429141244,39.16343669250646,0.4382919673604017,27.0
GluA2,65,42483.14518640523,51075.149918309675,16.785637032230152,0.2670498246401507,73.19999999999993
GluA2,66,39782.77416725493,51673.152530381594,30.90582862113962,0.39562727338632386,45.70000000000002
GluA2,67,29254.489345735674,52041.99688782447,112.7490774907749,0.8405726813511831,20.30000000000001
GluA2,68,7681.182520565347,51821.931666863245,7.808586762075112,0.2690127068077883,89.5
GluA2,69,44078.708641130375,-190.15415860626837,32.271343182587124,0.3572673892249595,63.299999999999955
GluA2,70,42392.8250938465,-109.74247791831523,0.4602245769413253,0.14639645622581673,598.3
